DHB of residence,Ethnic group,Age group,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people,,,,,,,,,,,,,,,
Hawkes Bay,Maori,30-34,737,261,"2,989",247,87,,,,,,,,,,,,,,,
Hawkes Bay,Maori,35-39,723,268,"2,447",295,110,,,,,,,,,,,,,,,
Hawkes Bay,Maori,40-44,874,323,"2,342",373,138,,,,,,,,,,,,,,,
Hawkes Bay,Maori,45-49,"1,108",468,"2,627",422,178,,,,,,,,,,,,,,,
Hawkes Bay,Maori,50-54,"1,208",553,"2,294",527,241,,,,,,,,,,,,,,,
Hawkes Bay,Maori,55-59,"1,396",697,"2,316",603,301,,,,,,,,,,,,,,,
Hawkes Bay,Maori,60-64,"1,416",968,"1,850",765,523,,,,,,,,,,,,,,,
Hawkes Bay,Maori,65+,"2,698","2,258","3,263",827,692,,,,,,,,,,,,,,,
Hawkes Bay,Pacific Peoples,12-15,115,0,498,231,0,,,,,,,,,,,,,,,
Hawkes Bay,Pacific Peoples,16-19,193,73,465,415,157,,,,,,,,,,,,,,,
Hawkes Bay,Pacific Peoples,20-24,369,218,621,594,351,,,,,,,,,,,,,,,
Hawkes Bay,Pacific Peoples,25-29,454,298,572,794,521,,,,,,,,,,,,,,,
Hawkes Bay,Pacific Peoples,30-34,443,289,517,857,559,,,,,,,,,,,,,,,
Hawkes Bay,Pacific Peoples,35-39,382,245,447,855,548,,,,,,,,,,,,,,,
Hawkes Bay,Pacific Peoples,40-44,329,209,374,880,559,,,,,,,,,,,,,,,
Hawkes Bay,Pacific Peoples,45-49,282,146,352,801,415,,,,,,,,,,,,,,,
