sa2_code,sa2,dhbresidence,ethnicity_priority,population,partially_vaccinated,fully_vaccinated,eligible_for_booster,boosted
115300,Muriwai Valley-Bethells Beach,Waitemata,Maori,69,67,66,42,23
115300,Muriwai Valley-Bethells Beach,Waitemata,Pacific Peoples,20,13,12,8,3
115400,Tindalls-Matakatia,Waitemata,Maori,91,93,93,68,36
115400,Tindalls-Matakatia,Waitemata,Pacific Peoples,27,22,20,16,9
115500,Coatesville,Waitemata,Maori,71,64,61,42,21
115500,Coatesville,Waitemata,Pacific Peoples,31,26,25,20,5
115600,Dairy Flat South,Waitemata,Maori,59,52,49,38,19
115600,Dairy Flat South,Waitemata,Pacific Peoples,10,9,9,6,4
115700,Gulf Harbour North,Waitemata,Maori,115,116,111,84,43
115700,Gulf Harbour North,Waitemata,Pacific Peoples,47,46,45,33,13
115800,Manly East,Waitemata,Maori,200,177,173,123,72
115800,Manly East,Waitemata,Pacific Peoples,68,55,54,42,21
115900,Riverhead,Waitemata,Maori,180,159,155,109,49
115900,Riverhead,Waitemata,Pacific Peoples,64,65,65,53,35
116000,Army Bay,Waitemata,Maori,67,74,71,50,27
116000,Army Bay,Waitemata,Pacific Peoples,41,44,44,28,20
116100,Kumeu Rural East,Waitemata,Maori,177,160,154,113,62
116100,Kumeu Rural East,Waitemata,Pacific Peoples,88,87,85,63,33
116200,Gulf Harbour South,Waitemata,Maori,59,52,51,40,22
116200,Gulf Harbour South,Waitemata,Pacific Peoples,41,38,37,29,17
116300,Paremoremo West,Waitemata,Maori,32,31,31,25,14
116300,Paremoremo West,Waitemata,Pacific Peoples,16,16,15,10,6
116400,Taupaki,Waitemata,Maori,93,91,88,63,31
116400,Taupaki,Waitemata,Pacific Peoples,32,29,28,24,10
116500,Long Bay,Waitemata,Maori,32,28,28,20,12
116500,Long Bay,Waitemata,Pacific Peoples,21,23,23,19,15
116600,Paremoremo East,Waitemata,Maori,116,119,116,80,42
116600,Paremoremo East,Waitemata,Pacific Peoples,41,34,34,27,15
116700,Albany Heights,Waitemata,Maori,102,93,89,65,36
116700,Albany Heights,Waitemata,Pacific Peoples,46,47,47,40,26
116800,Awaruku,Waitemata,Maori,123,125,123,92,45
116800,Awaruku,Waitemata,Pacific Peoples,52,55,55,37,14
116900,Fairview Heights,Waitemata,Maori,72,65,62,46,21
116900,Fairview Heights,Waitemata,Pacific Peoples,29,34,34,26,14
117000,Whenuapai,Waitemata,Maori,414,390,380,264,143
117000,Whenuapai,Waitemata,Pacific Peoples,217,213,208,155,82
117100,Waitakere Ranges North,Waitemata,Maori,77,77,75,55,24
117100,Waitakere Ranges North,Waitemata,Pacific Peoples,31,24,24,19,12
117200,Torbay,Waitemata,Maori,135,135,135,94,48
117200,Torbay,Waitemata,Pacific Peoples,59,63,63,40,21
117300,Albany Central,Waitemata,Maori,113,101,95,79,27
117300,Albany Central,Waitemata,Pacific Peoples,28,27,25,21,8
117400,Albany West,Waitemata,Maori,61,66,63,40,20
117400,Albany West,Waitemata,Pacific Peoples,40,44,43,36,14
117500,Glamorgan,Waitemata,Maori,138,132,129,90,54
117500,Glamorgan,Waitemata,Pacific Peoples,42,41,40,28,17
117600,Oteha East,Waitemata,Maori,78,74,72,51,34
117600,Oteha East,Waitemata,Pacific Peoples,49,37,37,29,14
117700,Northcross,Waitemata,Maori,101,105,104,74,45
117700,Northcross,Waitemata,Pacific Peoples,29,26,25,22,10
117800,Oteha West,Waitemata,Maori,18,17,17,11,7
117800,Oteha West,Waitemata,Pacific Peoples,23,17,17,12,7
117900,Waiake,Waitemata,Maori,118,106,103,74,31
117900,Waiake,Waitemata,Pacific Peoples,51,53,51,28,22
118000,Waitakere,Waitemata,Maori,181,162,159,104,54
