SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
110100,Mangawhai,Northland,5-11,108,33,15,NA,NA,31%,14%,NA
110200,Okahukura Peninsula,Waitemata,12+,"1,305","1,135","1,115",995,619,87%,85%,62%
110200,Okahukura Peninsula,Waitemata,5-11,140,44,12,NA,NA,31%,9%,NA
110400,Cape Rodney,Waitemata,12+,"3,182","2,782","2,728","2,481","1,703",87%,86%,69%
110400,Cape Rodney,Waitemata,5-11,324,139,39,NA,NA,43%,12%,NA
110500,Wellsford,Waitemata,12+,"1,656","1,456","1,422","1,247",779,88%,86%,62%
110500,Wellsford,Waitemata,5-11,206,60,18,NA,NA,29%,9%,NA
110700,South Head,Waitemata,12+,"2,242","2,010","1,971","1,751","1,198",90%,88%,68%
110700,South Head,Waitemata,5-11,254,107,27,NA,NA,42%,11%,NA
110800,Kaipara Hills,Waitemata,12+,"1,732","1,507","1,482","1,292",785,87%,86%,61%
110800,Kaipara Hills,Waitemata,5-11,230,90,21,NA,NA,39%,9%,NA
110900,Dome Valley-Matakana,Waitemata,12+,"1,407","1,271","1,251","1,115",827,90%,89%,74%
110900,Dome Valley-Matakana,Waitemata,5-11,171,106,25,NA,NA,62%,15%,NA
111100,Warkworth West,Waitemata,12+,"2,299","2,162","2,138","1,932","1,476",94%,93%,76%
111100,Warkworth West,Waitemata,5-11,218,94,27,NA,NA,43%,12%,NA
111200,Puhoi Valley,Waitemata,12+,"3,348","3,024","2,977","2,626","1,796",90%,89%,68%
111200,Puhoi Valley,Waitemata,5-11,318,135,36,NA,NA,42%,11%,NA
111300,Warkworth East,Waitemata,12+,"3,106","2,936","2,910","2,641","1,954",95%,94%,74%
111300,Warkworth East,Waitemata,5-11,346,164,44,NA,NA,47%,13%,NA
111400,Sandspit,Waitemata,12+,918,839,825,761,585,91%,90%,77%
111400,Sandspit,Waitemata,5-11,73,27,9,NA,NA,37%,12%,NA
111500,Tawharanui Peninsula,Waitemata,12+,"1,917",Masked,Masked,"1,699","1,323",>95%,>95%,78%
111500,Tawharanui Peninsula,Waitemata,5-11,165,103,34,NA,NA,62%,21%,NA
111600,Te Kuru,Waitemata,12+,"2,106","1,967","1,940","1,713","1,146",93%,92%,67%
111600,Te Kuru,Waitemata,5-11,275,131,26,NA,NA,48%,9%,NA
111700,Snells Beach,Waitemata,12+,"3,161","2,918","2,895","2,622","1,958",92%,92%,75%
111700,Snells Beach,Waitemata,5-11,327,164,50,NA,NA,50%,15%,NA
111800,Barrier Islands,Auckland,12+,924,772,756,699,535,84%,82%,77%
111800,Barrier Islands,Auckland,5-11,82,21,7,NA,NA,26%,9%,NA
111900,Algies Bay-Scotts Landing,Waitemata,12+,"1,134",988,974,909,718,87%,86%,79%
111900,Algies Bay-Scotts Landing,Waitemata,5-11,79,35,Masked,NA,NA,44%,6%,NA
112100,Wainui-Waiwera,Waitemata,12+,"1,582","1,429","1,416","1,265",878,90%,90%,69%
112100,Wainui-Waiwera,Waitemata,5-11,157,58,15,NA,NA,37%,10%,NA
112200,Parakai,Waitemata,12+,899,801,788,675,451,89%,88%,67%
112200,Parakai,Waitemata,5-11,123,61,19,NA,NA,50%,15%,NA
112300,Helensville Rural,Waitemata,12+,"1,397","1,285","1,272","1,133",794,92%,91%,70%
112300,Helensville Rural,Waitemata,5-11,143,59,18,NA,NA,41%,13%,NA
112400,Helensville,Waitemata,12+,"2,396","2,225","2,180","1,923","1,325",93%,91%,69%
112400,Helensville,Waitemata,5-11,325,167,51,NA,NA,51%,16%,NA
112500,Waitoki,Waitemata,12+,"1,416","1,309","1,295","1,160",771,92%,91%,66%
112500,Waitoki,Waitemata,5-11,171,75,17,NA,NA,44%,10%,NA
112600,Waikoukou Valley,Waitemata,12+,"1,454","1,352","1,334","1,137",773,93%,92%,68%
112600,Waikoukou Valley,Waitemata,5-11,171,63,13,NA,NA,37%,8%,NA
112700,Orewa North,Waitemata,12+,"4,386","4,148","4,121","3,789","3,040",95%,94%,80%
112700,Orewa North,Waitemata,5-11,404,221,78,NA,NA,55%,19%,NA
112800,Hatfields Beach,Waitemata,12+,"1,321","1,240","1,231","1,109",795,94%,93%,72%
112800,Hatfields Beach,Waitemata,5-11,139,78,21,NA,NA,56%,15%,NA
112900,Orewa South,Waitemata,12+,"3,528",Masked,"3,337","3,106","2,526",>95%,95%,81%
112900,Orewa South,Waitemata,5-11,248,154,43,NA,NA,62%,17%,NA
113000,Orewa Central,Waitemata,12+,"2,990","2,800","2,774","2,608","2,094",94%,93%,80%
113000,Orewa Central,Waitemata,5-11,185,99,26,NA,NA,54%,14%,NA
113100,Millwater North,Waitemata,12+,"3,033",Masked,"2,862","2,552","1,910",>95%,94%,75%
113100,Millwater North,Waitemata,5-11,570,359,101,NA,NA,63%,18%,NA
113200,Waipatukahu,Waitemata,12+,"1,182","1,085","1,074",942,650,92%,91%,69%
113200,Waipatukahu,Waitemata,5-11,134,80,17,NA,NA,60%,13%,NA
113300,Millwater South,Waitemata,12+,"3,092",Masked,Masked,"2,634","1,832",>95%,>95%,70%
113300,Millwater South,Waitemata,5-11,624,408,109,NA,NA,65%,17%,NA
113400,Dairy Flat North,Waitemata,12+,"2,192","2,080","2,053","1,839","1,155",95%,94%,63%
113400,Dairy Flat North,Waitemata,5-11,242,128,44,NA,NA,53%,18%,NA
113500,Dairy Flat West,Waitemata,12+,"1,280","1,182","1,176","1,039",705,92%,92%,68%
113500,Dairy Flat West,Waitemata,5-11,126,60,13,NA,NA,48%,10%,NA
113600,Kingsway,Waitemata,12+,"2,018","1,911","1,886","1,627","1,139",95%,93%,70%
113600,Kingsway,Waitemata,5-11,285,159,35,NA,NA,56%,12%,NA
113800,Silverdale Central (Auckland),Waitemata,12+,468,Masked,Masked,401,259,>95%,>95%,65%
113800,Silverdale Central (Auckland),Waitemata,5-11,51,28,6,NA,NA,55%,12%,NA
113900,Red Beach West,Waitemata,12+,"2,550","2,316","2,295","2,100","1,678",91%,90%,80%
113900,Red Beach West,Waitemata,5-11,212,105,31,NA,NA,50%,15%,NA
114000,Red Beach East,Waitemata,12+,"3,474",Masked,"3,296","2,961","2,203",>95%,95%,74%
114000,Red Beach East,Waitemata,5-11,366,191,45,NA,NA,52%,12%,NA
114100,Silverdale South (Auckland),Waitemata,12+,"1,721","1,590","1,568","1,395",939,92%,91%,67%
114100,Silverdale South (Auckland),Waitemata,5-11,189,100,13,NA,NA,53%,7%,NA
114200,Waimauku,Waitemata,12+,"1,156",Masked,"1,094",970,701,>95%,95%,72%
114200,Waimauku,Waitemata,5-11,134,77,20,NA,NA,57%,15%,NA
114400,Vipond,Waitemata,12+,"2,497","2,348","2,334","2,128","1,536",94%,93%,72%
114400,Vipond,Waitemata,5-11,310,160,55,NA,NA,52%,18%,NA
114500,Muriwai,Waitemata,12+,950,874,859,777,573,92%,90%,74%
114500,Muriwai,Waitemata,5-11,124,83,21,NA,NA,67%,17%,NA
114600,Stanmore Bay West,Waitemata,12+,"2,231","2,091","2,064","1,831","1,252",94%,93%,68%
114600,Stanmore Bay West,Waitemata,5-11,333,172,65,NA,NA,52%,20%,NA
114700,Kumeu Rural West,Waitemata,12+,"1,495","1,413","1,390","1,252",878,95%,93%,70%
114700,Kumeu Rural West,Waitemata,5-11,115,54,18,NA,NA,47%,16%,NA
114800,Okura Bush,Waitemata,12+,"1,215","1,111","1,095","1,005",687,91%,90%,68%
114800,Okura Bush,Waitemata,5-11,142,87,27,NA,NA,61%,19%,NA
114900,Whangaparoa Central,Waitemata,12+,"3,739","3,541","3,510","3,109","2,236",95%,94%,72%
114900,Whangaparoa Central,Waitemata,5-11,417,232,65,NA,NA,56%,16%,NA
115000,Kumeu-Huapai,Waitemata,12+,"4,008",Masked,Masked,"3,522","2,574",>95%,>95%,73%
115000,Kumeu-Huapai,Waitemata,5-11,550,446,152,NA,NA,81%,28%,NA
115100,Stanmore Bay East,Waitemata,12+,"2,358","2,177","2,141","1,888","1,340",92%,91%,71%
115100,Stanmore Bay East,Waitemata,5-11,273,135,34,NA,NA,49%,12%,NA
115200,Manly West,Waitemata,12+,"2,069","1,927","1,908","1,723","1,235",93%,92%,72%
115200,Manly West,Waitemata,5-11,230,120,43,NA,NA,52%,19%,NA
115300,Muriwai Valley-Bethells Beach,Waitemata,12+,929,843,832,743,524,91%,90%,71%
115300,Muriwai Valley-Bethells Beach,Waitemata,5-11,122,73,23,NA,NA,60%,19%,NA
115400,Tindalls-Matakatia,Waitemata,12+,"1,776","1,655","1,642","1,485","1,087",93%,92%,73%
115400,Tindalls-Matakatia,Waitemata,5-11,151,86,25,NA,NA,57%,17%,NA
115500,Coatesville,Waitemata,12+,"2,024","1,896","1,876","1,636","1,212",94%,93%,74%
115500,Coatesville,Waitemata,5-11,222,106,39,NA,NA,48%,18%,NA
115600,Dairy Flat South,Waitemata,12+,"1,471","1,385","1,368","1,211",866,94%,93%,72%
115600,Dairy Flat South,Waitemata,5-11,135,64,30,NA,NA,47%,22%,NA
115700,Gulf Harbour North,Waitemata,12+,"2,483",Masked,Masked,"2,090","1,530",>95%,>95%,73%
115700,Gulf Harbour North,Waitemata,5-11,315,197,76,NA,NA,63%,24%,NA
115800,Manly East,Waitemata,12+,"3,156","2,886","2,862","2,598","1,954",91%,91%,75%
115800,Manly East,Waitemata,5-11,332,196,50,NA,NA,59%,15%,NA
115900,Riverhead,Waitemata,12+,"2,559",Masked,Masked,"2,193","1,657",>95%,>95%,76%
115900,Riverhead,Waitemata,5-11,417,324,152,NA,NA,78%,36%,NA
116000,Army Bay,Waitemata,12+,"1,327","1,259","1,237","1,118",872,95%,93%,78%
116000,Army Bay,Waitemata,5-11,168,96,30,NA,NA,57%,18%,NA
116100,Kumeu Rural East,Waitemata,12+,"2,272","2,068","2,051","1,874","1,284",91%,90%,69%
116100,Kumeu Rural East,Waitemata,5-11,216,122,39,NA,NA,56%,18%,NA
116200,Gulf Harbour South,Waitemata,12+,"2,564","2,412","2,396","2,175","1,638",94%,93%,75%
116200,Gulf Harbour South,Waitemata,5-11,266,164,65,NA,NA,62%,24%,NA
116300,Paremoremo West,Waitemata,12+,818,766,757,669,476,94%,93%,71%
116300,Paremoremo West,Waitemata,5-11,93,41,15,NA,NA,44%,16%,NA
116400,Taupaki,Waitemata,12+,"1,533","1,389","1,375","1,229",867,91%,90%,71%
116400,Taupaki,Waitemata,5-11,143,68,17,NA,NA,48%,12%,NA
116500,Long Bay,Waitemata,12+,"2,047",Masked,Masked,"1,819","1,291",>95%,>95%,71%
116500,Long Bay,Waitemata,5-11,301,218,83,NA,NA,72%,28%,NA
