SA2 CODE 2018,SA2 2018,DHB,ETHNICITY, POPULATION , FIRST DOSE , SECOND DOSE , FIRST DOSE UPTAKE , SECOND DOSE UPTAKE 
125200,Birkenhead West,Waitemata,Maori,196,Masked,174, >950 , 888 
125200,Birkenhead West,Waitemata,Pacific Peoples,93,79,74, 849 , 796 
125300,Te Atatu Peninsula East,Waitemata,Maori,301,261,236, 867 , 784 
125300,Te Atatu Peninsula East,Waitemata,Pacific Peoples,231,209,189, 905 , 818 
125400,Milford West,Waitemata,Maori,78,Masked,71, >950 , 910 
125500,Westlake,Waitemata,Maori,73,66,61, 904 , 836 
125500,Westlake,Waitemata,Pacific Peoples,44,40,38, 909 , 864 
125600,Hillcrest North (Auckland),Waitemata,Maori,163,138,125, 847 , 767 
125600,Hillcrest North (Auckland),Waitemata,Pacific Peoples,74,69,68, 932 , 919 
125700,Henderson Lincoln South,Waitemata,Maori,272,223,194, 820 , 713 
125700,Henderson Lincoln South,Waitemata,Pacific Peoples,358,314,291, 877 , 813 
125800,Hillcrest West (Auckland),Waitemata,Maori,135,119,107, 881 , 793 
125800,Hillcrest West (Auckland),Waitemata,Pacific Peoples,62,49,45, 790 , 726 
125900,Milford Central,Waitemata,Maori,46,38,37, 826 , 804 
126000,Summerland South,Waitemata,Maori,180,163,145, 906 , 806 
126000,Summerland South,Waitemata,Pacific Peoples,272,241,228, 886 , 838 
126100,Summerland North,Waitemata,Maori,145,Masked,126, >950 , 869 
126100,Summerland North,Waitemata,Pacific Peoples,154,Masked,Masked, >950 , >950 
126200,Hillcrest East (Auckland),Waitemata,Maori,183,170,152, 929 , 831 
126200,Hillcrest East (Auckland),Waitemata,Pacific Peoples,80,Masked,Masked, >950 , >950 
126300,Chatswood,Waitemata,Maori,107,94,87, 879 , 813 
126300,Chatswood,Waitemata,Pacific Peoples,47,Masked,Masked, >950 , >950 
126400,Te Atatu South-Edmonton,Waitemata,Maori,458,376,324, 821 , 707 
126400,Te Atatu South-Edmonton,Waitemata,Pacific Peoples,585,509,469, 870 , 802 
126500,Birkenhead North,Waitemata,Maori,123,Masked,Masked, >950 , >950 
126500,Birkenhead North,Waitemata,Pacific Peoples,81,54,51, 667 , 630 
126600,Takapuna West,Waitemata,Maori,139,126,111, 906 , 799 
126600,Takapuna West,Waitemata,Pacific Peoples,69,Masked,Masked, >950 , >950 
126700,Henderson North,Waitemata,Maori,433,390,345, 901 , 797 
126700,Henderson North,Waitemata,Pacific Peoples,553,525,477, 949 , 863 
126800,Takapuna Central,Waitemata,Maori,74,70,65, 946 , 878 
126900,Western Heights (Auckland),Waitemata,Maori,334,286,252, 856 , 754 
