sa2_code,sa2,dhb,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
139400,Remuera West,Auckland,62,62,masked,>950,>950
139500,Blockhouse Bay East,Auckland,56,53,67,836,791
139600,Lynfield North,Auckland,101,99,masked,>950,>950
139700,Mount Roskill North,Auckland,169,163,179,944,911
139800,Mount Roskill White Swan,Auckland,123,123,masked,>950,>950
139900,Mount Eden South,Auckland,111,110,masked,>950,>950
140000,Remuera Waitaramoa,Auckland,98,98,masked,>950,>950
140100,Orakei East,Auckland,592,578,625,947,925
140200,Epsom Central-North,Auckland,63,62,71,887,873
140300,Mount St John,Auckland,179,176,202,886,871
140400,Mount Roskill Central North,Auckland,113,109,133,850,820
140500,Remuera North,Auckland,58,56,masked,>950,>950
140600,Three Kings West,Auckland,162,155,177,915,876
140700,Mount Roskill Central South,Auckland,118,114,130,908,877
140800,Epsom Central-South,Auckland,84,82,masked,>950,>950
140900,Lynfield South,Auckland,117,114,masked,>950,>950
141000,Remuera South,Auckland,94,94,masked,>950,>950
141100,Mission Bay,Auckland,97,96,110,882,873
141200,Three Kings East,Auckland,48,47,53,906,887
141300,Mount Roskill South,Auckland,86,85,masked,>950,>950
141500,Epsom East,Auckland,89,84,99,899,848
141600,Remuera Waiata,Auckland,55,55,59,932,932
141700,Epsom South,Auckland,111,110,masked,>950,>950
141800,Kohimarama,Auckland,80,80,86,930,930
141900,Meadowbank West,Auckland,119,113,masked,>950,>950
142000,Hillsborough North (Auckland),Auckland,101,96,107,944,897
142100,Hillsborough West (Auckland),Auckland,100,99,112,893,884
142200,Greenlane North,Auckland,118,117,masked,>950,>950
142300,Waikowhai North,Auckland,176,168,193,912,870
142400,Remuera East,Auckland,60,59,64,938,922
142500,Waikowhai South,Auckland,60,60,masked,>950,>950
142600,Royal Oak West (Auckland),Auckland,107,104,115,930,904
142700,Saint Heliers West,Auckland,73,71,masked,>950,>950
142800,One Tree Hill,Auckland,221,218,masked,>950,>950
142900,Hillsborough East (Auckland),Auckland,72,70,masked,>950,>950
143000,Saint Heliers North,Auckland,65,65,69,942,942
143100,Remuera Abbotts Park,Auckland,139,138,masked,>950,>950
143200,Meadowbank East,Auckland,97,97,masked,>950,>950
143300,Ellerslie Central,Auckland,156,153,175,891,874
143400,Royal Oak East (Auckland),Auckland,125,124,masked,>950,>950
143500,Saint Heliers South,Auckland,98,98,104,942,942
143600,Hillsborough South (Auckland),Auckland,104,102,119,874,857
143700,Saint Johns West,Auckland,71,71,masked,>950,>950
143800,Greenlane South,Auckland,172,166,191,901,869
143900,Remuera Waiatarua,Auckland,62,60,masked,>950,>950
144000,Glendowie North,Auckland,89,86,96,927,896
144100,Onehunga West,Auckland,256,252,masked,>950,>950
144200,Ellerslie West,Auckland,masked,masked,masked,masked,masked
144300,Onehunga North,Auckland,215,211,masked,>950,>950
144400,Ellerslie East,Auckland,108,106,116,931,914
144500,Saint Johns East,Auckland,141,141,150,940,940
144600,Oneroa West,Auckland,79,77,88,898,875
144700,Glen Innes West,Auckland,533,507,564,945,899
144800,Ellerslie South,Auckland,111,111,117,949,949
144900,Stonefields West,Auckland,47,47,50,940,940
145000,Onehunga Central,Auckland,239,236,masked,>950,>950
145100,Glendowie South,Auckland,172,166,182,945,912
145200,Oranga,Auckland,305,295,335,910,881
145300,Mount Wellington North West,Auckland,122,120,134,910,896
145400,Panmure Glen Innes Industrial,Auckland,55,53,59,932,898
145500,Onehunga-Te Papapa Industrial,Auckland,101,95,113,894,841
145600,Te Papapa,Auckland,265,254,masked,>950,>950
