sa2_code,sa2_name,dhb,ethnicity_priority,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
125500,Westlake,Waitemata,Pacific Peoples,masked,masked,masked,167,<50
125600,Hillcrest North (Auckland),Waitemata,Pacific Peoples,masked,masked,masked,600,<50
125700,Henderson Lincoln South,Waitemata,Pacific Peoples,masked,masked,masked,380,<50
125800,Hillcrest West (Auckland),Waitemata,Pacific Peoples,masked,masked,masked,200,<50
125900,Milford Central,Waitemata,Pacific Peoples,masked,masked,masked,<50,<50
126000,Summerland South,Waitemata,Pacific Peoples,masked,masked,masked,383,<50
126100,Summerland North,Waitemata,Pacific Peoples,masked,masked,masked,483,<50
126200,Hillcrest East (Auckland),Waitemata,Pacific Peoples,masked,masked,masked,643,<50
126300,Chatswood,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
126400,Te Atat? South-Edmonton,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
126500,Birkenhead North,Waitemata,Pacific Peoples,masked,masked,masked,600,<50
126600,Takapuna West,Waitemata,Pacific Peoples,masked,masked,masked,>950,<50
126700,Henderson North,Waitemata,Pacific Peoples,masked,masked,masked,264,<50
126800,Takapuna Central,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
126900,Western Heights (Auckland),Waitemata,Pacific Peoples,masked,masked,masked,328,<50
127000,Te Atat? South-Central,Waitemata,Pacific Peoples,masked,masked,masked,478,<50
127100,Northcote Central (Auckland),Waitemata,Pacific Peoples,masked,masked,masked,421,<50
127200,Akoranga,Waitemata,Pacific Peoples,masked,masked,masked,111,<50
127300,Northcote South (Auckland),Waitemata,Pacific Peoples,masked,masked,masked,625,<50
127400,Birkenhead South,Waitemata,Pacific Peoples,masked,masked,masked,333,<50
127500,Henderson Central,Waitemata,Pacific Peoples,masked,masked,masked,533,<50
127600,Waiatarua,Waitemata,Pacific Peoples,masked,masked,masked,429,<50
127700,Te Atat? South-McLeod North,Waitemata,Pacific Peoples,masked,masked,masked,540,<50
127800,Henderson Valley Park,Waitemata,Pacific Peoples,masked,masked,masked,357,<50
127900,Henderson North East,Waitemata,Pacific Peoples,masked,masked,masked,421,<50
128000,Waitakere Ranges South,Waitemata,Pacific Peoples,masked,masked,masked,400,<50
128100,Northcote Tuff Crater,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
128200,Northcote Point (Auckland),Waitemata,Pacific Peoples,masked,masked,masked,750,<50
128300,McLaren Park,Waitemata,Pacific Peoples,masked,masked,masked,405,<50
128400,Henderson East,Waitemata,Pacific Peoples,masked,masked,masked,383,<50
128500,Te Atat? South-McLeod South,Waitemata,Pacific Peoples,masked,masked,masked,379,<50
128600,Takapuna South,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
128700,Rosebank Peninsula,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
128800,Hauraki,Waitemata,Pacific Peoples,masked,masked,masked,643,<50
128900,Glendene North,Waitemata,Pacific Peoples,masked,masked,masked,437,<50
129000,Sunnyvale West-Parrs Park,Waitemata,Pacific Peoples,masked,masked,masked,379,<50
129100,Sunnyvale East,Waitemata,Pacific Peoples,masked,masked,masked,423,<50
129200,Point Chevalier West,Auckland,Pacific Peoples,masked,masked,masked,333,<50
129300,Belmont (Auckland),Waitemata,Pacific Peoples,masked,masked,masked,444,<50
129400,Bayswater,Waitemata,Pacific Peoples,masked,masked,masked,83,<50
129500,Glendene South,Waitemata,Pacific Peoples,masked,masked,masked,378,<50
129600,Glen Eden West,Waitemata,Pacific Peoples,masked,masked,masked,449,<50
129700,Herne Bay,Auckland,Pacific Peoples,masked,masked,masked,600,<50
129800,Westmere North,Auckland,Pacific Peoples,masked,masked,masked,714,286
129900,Point Chevalier East,Auckland,Pacific Peoples,masked,masked,masked,439,<50
130000,Oratia,Waitemata,Pacific Peoples,masked,masked,masked,333,<50
130100,Glen Eden Rosier,Waitemata,Pacific Peoples,masked,masked,masked,394,<50
130200,Saint Marys Bay,Auckland,Pacific Peoples,masked,masked,masked,286,<50
130300,Westmere South-Western Springs,Auckland,Pacific Peoples,masked,masked,masked,750,<50
130400,Ponsonby West,Auckland,Pacific Peoples,masked,masked,masked,562,<50
130500,Kelston North,Waitemata,Pacific Peoples,masked,masked,masked,381,<50
130600,Avondale Rosebank,Auckland,Pacific Peoples,masked,masked,masked,384,<50
130700,Narrow Neck,Waitemata,Pacific Peoples,masked,masked,masked,>950,<50
130800,Glen Eden North,Waitemata,Pacific Peoples,masked,masked,masked,446,<50
130900,Glen Eden Woodglen,Waitemata,Pacific Peoples,masked,masked,masked,372,<50
131000,Kelston South,Waitemata,Pacific Peoples,masked,masked,masked,352,<50
131100,Waterview,Auckland,Pacific Peoples,masked,masked,masked,345,<50
131200,Ponsonby East,Auckland,Pacific Peoples,masked,masked,masked,875,<50
131300,Wynyard-Viaduct,Auckland,Pacific Peoples,masked,masked,masked,>950,<50
131400,Stanley Point,Waitemata,Pacific Peoples,masked,masked,masked,>950,<50
131500,Glen Eden Central,Waitemata,Pacific Peoples,masked,masked,masked,483,<50
131600,Grey Lynn North,Auckland,Pacific Peoples,masked,masked,masked,704,<50
131700,Avondale West (Auckland),Auckland,Pacific Peoples,masked,masked,masked,304,<50
131800,Freemans Bay,Auckland,Pacific Peoples,masked,masked,masked,222,<50
131900,Mount Albert West,Auckland,Pacific Peoples,masked,masked,masked,357,<50
132000,Avondale North (Auckland),Auckland,Pacific Peoples,masked,masked,masked,456,<50
132100,Grey Lynn West,Auckland,Pacific Peoples,masked,masked,masked,607,<50
132200,Mount Albert North,Auckland,Pacific Peoples,masked,masked,masked,488,<50
132300,New Lynn North,Waitemata,Pacific Peoples,masked,masked,masked,250,<50
132400,Victoria Park,Auckland,Pacific Peoples,masked,masked,masked,<50,<50
132500,Konini,Waitemata,Pacific Peoples,masked,masked,masked,472,<50
132600,New Lynn North West,Waitemata,Pacific Peoples,masked,masked,masked,383,<50
132700,Hobson Ridge North,Auckland,Pacific Peoples,masked,masked,masked,500,<50
132800,Grey Lynn Central,Auckland,Pacific Peoples,masked,masked,masked,371,<50
132900,Fruitvale,Waitemata,Pacific Peoples,masked,masked,masked,455,<50
133000,Devonport,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
133100,Avondale Central (Auckland),Auckland,Pacific Peoples,masked,masked,masked,551,<50
133200,Queen Street,Auckland,Pacific Peoples,masked,masked,masked,<50,<50
133300,Quay Street-Customs Street,Auckland,Pacific Peoples,masked,masked,masked,<50,<50
133400,Hobson Ridge Central,Auckland,Pacific Peoples,masked,masked,masked,750,<50
133500,Grey Lynn East,Auckland,Pacific Peoples,masked,masked,masked,357,<50
133600,Morningside (Auckland),Auckland,Pacific Peoples,masked,masked,masked,543,<50
133700,Shortland Street,Auckland,Pacific Peoples,masked,masked,masked,<50,<50
133800,Hobson Ridge South,Auckland,Pacific Peoples,masked,masked,masked,500,<50
133900,New Lynn Central,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
134000,Cheltenham,Waitemata,Pacific Peoples,masked,masked,masked,429,<50
134100,Queen Street South West,Auckland,Pacific Peoples,masked,masked,masked,<50,<50
134200,Mount Albert Central,Auckland,Pacific Peoples,masked,masked,masked,417,<50
134300,Karangahape,Auckland,Pacific Peoples,masked,masked,masked,400,<50
134400,Kingsland,Auckland,Pacific Peoples,masked,masked,masked,407,<50
134500,Anzac Avenue,Auckland,Pacific Peoples,masked,masked,masked,500,<50
134600,Waima-Woodlands Park,Waitemata,Pacific Peoples,masked,masked,masked,364,<50
134700,Kaurilands,Waitemata,Pacific Peoples,masked,masked,masked,263,<50
134800,Auckland-University,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
134900,New Lynn Seabrook,Waitemata,Pacific Peoples,masked,masked,masked,408,<50
135000,Avondale South (Auckland),Auckland,Pacific Peoples,masked,masked,masked,451,<50
135100,Symonds Street North West,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
