sa2_code,sa2_name,dhb,ta,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
129600,Glen Eden West,Waitemata,Auckland,2825,2551,3126,904,816
129700,Herne Bay,Auckland,Auckland,2572,2469,2721,945,907
129800,Westmere North,Auckland,Auckland,1968,1912,2085,944,917
129900,Point Chevalier East,Auckland,Auckland,masked,3597,3861,>950,932
130000,Oratia,Waitemata,Auckland,1698,1555,1847,919,842
130100,Glen Eden Rosier,Waitemata,Auckland,2692,2438,2924,921,834
130200,Saint Marys Bay,Area outside District Health Board,Auckland,1763,1698,1903,926,892
130200,Saint Marys Bay,Auckland,Auckland,1758,1698,1903,924,892
130300,Westmere South-Western Springs,Auckland,Auckland,masked,2394,2583,>950,927
130400,Ponsonby West,Auckland,Auckland,masked,1823,2002,>950,911
130500,Kelston North,Waitemata,Auckland,2206,2015,2395,921,841
130600,Avondale Rosebank ,Auckland,Auckland,3488,3202,3788,921,845
130700,Narrow Neck,Waitemata,Auckland,masked,3433,3759,>950,913
130800,Glen Eden North,Waitemata,Auckland,2066,1865,2178,949,856
130900,Glen Eden Woodglen,Waitemata,Auckland,3276,2992,3586,914,834
131000,Kelston South,Waitemata,Auckland,2019,1800,2173,929,828
131100,Waterview,Auckland,Auckland,2980,2738,3136,950,873
131200,Ponsonby East,Auckland,Auckland,2770,2666,2962,935,900
131300,Wynyard-Viaduct,Auckland,Auckland,1155,1101,1219,947,903
131400,Stanley Point,Waitemata,Auckland,masked,1467,1570,>950,934
131500,Glen Eden Central,Waitemata,Auckland,2698,2502,2923,923,856
131600,Grey Lynn North,Auckland,Auckland,masked,2420,2643,>950,916
131700,Avondale West (Auckland),Auckland,Auckland,3211,2904,3418,939,850
131800,Freemans Bay,Auckland,Auckland,3630,3470,3952,919,878
131900,Mount Albert West,Auckland,Auckland,masked,2052,2298,>950,893
132000,Avondale North (Auckland),Auckland,Auckland,masked,3422,3864,>950,886
132100,Grey Lynn West,Auckland,Auckland,2465,2340,2643,933,885
132200,Mount Albert North,Auckland,Auckland,masked,3013,3316,>950,909
132300,New Lynn North,Waitemata,Auckland,2581,2357,2730,945,863
132400,Victoria Park ,Auckland,Auckland,masked,masked,2292,>950,>950
132500,Konini,Waitemata,Auckland,2774,2625,2982,930,880
132600,New Lynn North West,Waitemata,Auckland,2514,2344,2674,940,877
132700,Hobson Ridge North,Auckland,Auckland,masked,masked,2022,>950,>950
132800,Grey Lynn Central,Auckland,Auckland,2959,2820,3119,949,904
132900,Fruitvale,Waitemata,Auckland,masked,2175,2453,>950,887
133000,Devonport,Waitemata,Auckland,2946,2824,3124,943,904
133100,Avondale Central (Auckland),Auckland,Auckland,masked,2256,2545,>950,886
133200,Queen Street,Auckland,Auckland,masked,1550,1655,>950,937
133300,Quay Street-Customs Street,Auckland,Auckland,masked,masked,1914,>950,>950
133400,Hobson Ridge Central,Auckland,Auckland,masked,masked,2194,>950,>950
133500,Grey Lynn East,Auckland,Auckland,masked,1618,1747,>950,926
133600,Morningside (Auckland),Auckland,Auckland,3264,3058,3436,950,890
133700,Shortland Street,Auckland,Auckland,masked,1564,1745,>950,896
133800,Hobson Ridge South,Auckland,Auckland,masked,masked,1312,>950,>950
