SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake
122800,Birkdale North,Waitemata,Pacific Peoples,335,Masked,316,>950,943
122900,Massey South,Waitemata,Maori,637,561,524,881,823
122900,Massey South,Waitemata,Pacific Peoples,811,746,712,920,878
123000,Ranui North,Waitemata,Maori,669,581,529,868,791
123000,Ranui North,Waitemata,Pacific Peoples,987,913,871,925,882
123100,Glenfield West,Waitemata,Maori,144,136,131,944,910
123100,Glenfield West,Waitemata,Pacific Peoples,111,Masked,Masked,>950,>950
123200,Te Atatu Peninsula North West,Waitemata,Maori,492,447,417,909,848
123200,Te Atatu Peninsula North West,Waitemata,Pacific Peoples,276,238,230,862,833
123300,Glenfield South West,Waitemata,Maori,176,161.0,156.0,915,886
123300,Glenfield South West,Waitemata,Pacific Peoples,166,Masked,151.0,>950,910
123400,Forrest Hill West,Waitemata,Maori,109.0,Masked,Masked,>950,>950
123400,Forrest Hill West,Waitemata,Pacific Peoples,101.0,94,89,931,881
123600,Forrest Hill East,Waitemata,Maori,97,89,87,918,897
123600,Forrest Hill East,Waitemata,Pacific Peoples,68,Masked,Masked,>950,>950
123700,Castor Bay,Waitemata,Maori,114,Masked,Masked,>950,>950
123800,Ranui Domain,Waitemata,Maori,612,521,466,851,761
123800,Ranui Domain,Waitemata,Pacific Peoples,667,624,578,936,867
123900,Beach Haven South,Waitemata,Maori,171,Masked,161,>950,942
123900,Beach Haven South,Waitemata,Pacific Peoples,78,73,71,936,910
124000,Glenfield Central,Waitemata,Maori,163,Masked,150,>950,920
124000,Glenfield Central,Waitemata,Pacific Peoples,93,Masked,85,>950,914
124100,Piha,Waitemata,Maori,96,82,79,854,823
124200,Ranui South West,Waitemata,Maori,372,325,294,874,790
124200,Ranui South West,Waitemata,Pacific Peoples,464,Masked,417,>950,899
124300,Henderson Larnoch,Waitemata,Maori,607,553,502,911,827
124300,Henderson Larnoch,Waitemata,Pacific Peoples,914,851,806,931,882
124400,Birkdale South,Waitemata,Maori,319,302,290,947,909
124400,Birkdale South,Waitemata,Pacific Peoples,292,274,267,938,914
124500,Te Atatu Peninsula Central,Waitemata,Maori,552,519,480,940,870
124500,Te Atatu Peninsula Central,Waitemata,Pacific Peoples,428,395,374,923,874
124600,Glenfield East,Waitemata,Maori,99,90.0,87.0,909,879
124600,Glenfield East,Waitemata,Pacific Peoples,82,Masked,Masked,>950,>950
124700,Henderson Valley,Waitemata,Maori,126,113,107,897,849
124700,Henderson Valley,Waitemata,Pacific Peoples,50,Masked,Masked,>950,>950
124800,Te Atatu Peninsula West,Waitemata,Maori,550,509,482,925,876
124800,Te Atatu Peninsula West,Waitemata,Pacific Peoples,426,Masked,391,>950,918
124900,Henderson Lincoln West,Waitemata,Maori,443,373,333,842,752
124900,Henderson Lincoln West,Waitemata,Pacific Peoples,584,539,523,923,896
125000,Ranui South East,Waitemata,Maori,290,253,234,872,807
125000,Ranui South East,Waitemata,Pacific Peoples,440,417,400,948,909
125200,Birkenhead West,Waitemata,Maori,188,Masked,Masked,>950,>950
125200,Birkenhead West,Waitemata,Pacific Peoples,83,Masked,78,>950,940
125300,Te Atatu Peninsula East,Waitemata,Maori,284,269,259,947,912
125300,Te Atatu Peninsula East,Waitemata,Pacific Peoples,237,214,210,903,886
125400,Milford West,Waitemata,Maori,79,Masked,74,>950,937
125500,Westlake,Waitemata,Maori,71,Masked,Masked,>950,>950
125600,Hillcrest North (Auckland),Waitemata,Maori,155,139,136,897,877
125600,Hillcrest North (Auckland),Waitemata,Pacific Peoples,77,68,67,883,870
125700,Henderson Lincoln South,Waitemata,Maori,252,222,210,881,833
125700,Henderson Lincoln South,Waitemata,Pacific Peoples,356,321,305,902,857
125800,Hillcrest West (Auckland),Waitemata,Maori,137,125,120,912,876
125800,Hillcrest West (Auckland),Waitemata,Pacific Peoples,60,55,54,917,900
126000,Summerland South,Waitemata,Maori,183,169,161,923,880
126000,Summerland South,Waitemata,Pacific Peoples,277,249,236,899,852
126100,Summerland North,Waitemata,Maori,150,Masked,140,>950,933
126100,Summerland North,Waitemata,Pacific Peoples,175,Masked,Masked,>950,>950
126200,Hillcrest East (Auckland),Waitemata,Maori,187,177,170,947,909
